Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1999-01-24,0.401563,0.447428,0.355588,0.376292,73987870.281948
1999-01-31,0.406159,0.429071,0.362562,0.362562,42975687.163061
1999-02-07,0.362562,0.383147,0.330407,0.37866,22308290.397897
1999-02-14,0.380859,0.401563,0.341819,0.399235,17379055.492473
1999-02-21,0.406159,0.422108,0.360205,0.399235,11754280.19843
1999-02-28,0.406159,0.502416,0.380859,0.419939,35044484.772774
1999-03-07,0.429071,0.440503,0.37866,0.401563,9604778.9926102
1999-03-14,0.3923,0.426774,0.383147,0.390002,16542294.211954
1999-03-21,0.399235,0.413004,0.385404,0.401563,10904431.919525
1999-03-28,0.410686,0.410686,0.348813,0.401563,10793267.990961
1999-04-04,0.413004,0.422108,0.371746,0.3923,8817673.6489249
1999-04-11,0.387724,0.419939,0.362562,0.401563,12026224.962573
1999-04-18,0.396966,0.396966,0.357936,0.380859,5398596.4948183
1999-04-25,0.385404,0.385404,0.328089,0.330407,13489301.744317
1999-05-02,0.330407,0.362562,0.305106,0.348813,16963283.845468
1999-05-09,0.35344,0.35344,0.314371,0.335023,9188981.325727
1999-05-16,0.332756,0.374044,0.332756,0.344117,12666894.430141
1999-05-23,0.33958,0.408409,0.314371,0.325791,30635640.442577
1999-05-30,0.328089,0.341819,0.318936,0.325791,15661054.95053
1999-06-06,0.325791,0.328089,0.314371,0.325791,9638774.9653263
1999-06-13,0.328089,0.351092,0.325791,0.337423,13048684.115133
1999-06-20,0.33958,0.344117,0.312061,0.312061,11026010.805053
1999-06-27,0.323503,0.332756,0.314371,0.328089,18555813.52844
1999-07-04,0.337423,0.371746,0.325791,0.371746,21566926.000016
1999-07-11,0.376292,0.408409,0.355588,0.406159,18044583.95216
1999-07-18,0.429071,0.442831,0.406159,0.419939,25277571.910877
1999-07-25,0.419939,0.422108,0.367099,0.371746,17240475.618293
1999-08-01,0.380859,0.394619,0.367099,0.385404,34063855.578045
1999-08-08,0.385404,0.390002,0.374044,0.385404,29624953.283748
1999-08-15,0.385404,0.449736,0.383147,0.433768,21017826.491338
1999-08-22,0.438285,0.541485,0.401563,0.514006,82363620.303914
1999-08-29,0.507012,0.516306,0.452084,0.49793,57006294.461522
1999-09-05,0.504714,0.539188,0.474927,0.509411,57697926.864462
1999-09-12,0.518503,0.518503,0.490984,0.507012,18499578.565271
1999-09-19,0.509411,0.509411,0.449736,0.465764,26534076.873008
1999-09-26,0.45892,0.463465,0.321215,0.346445,65741562.152796
1999-10-03,0.369457,0.424435,0.346445,0.364832,58126811.529732
1999-10-10,0.37866,0.477285,0.367099,0.449736,83210828.565862
1999-10-17,0.452084,0.454353,0.390002,0.408409,42399079.638426
1999-10-24,0.410686,0.424435,0.364832,0.413004,42230393.763445
1999-10-31,0.410686,0.44517,0.390002,0.422108,40035160.618702
1999-11-07,0.415293,0.578158,0.415293,0.539188,150163169.74646
1999-11-14,0.5231,0.612731,0.507012,0.612731,53310023.533059
1999-11-21,0.617328,0.849051,0.589749,0.819174,96806072.249174
1999-11-28,0.839757,0.842157,0.67918,0.73194,43005740.123338
1999-12-05,0.729642,0.766414,0.662993,0.729642,40741185.01704
1999-12-12,0.73194,0.773308,0.695168,0.725046,24140070.867011
1999-12-19,0.718051,0.741133,0.672186,0.72045,29011749.800024
1999-12-26,0.72045,0.887921,0.695168,0.887921,36196348.789864
2000-01-02,0.906207,0.906207,0.844454,0.897014,21395650.146308
2000-01-09,0.903909,0.910803,0.754923,0.800788,26915813.517478
2000-01-16,0.803086,0.874231,0.761818,0.839757,34300490.365581
2000-01-23,0.851249,0.922395,0.812279,0.855846,31448903.770803
2000-01-30,0.883324,0.883324,0.686075,0.715953,37740511.520777
2000-02-06,0.718051,0.7848,0.669888,0.775607,18006653.973887
2000-02-13,0.780303,0.988944,0.727444,0.956769,72860820.222571
